"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"1","62.176.19.146",1418391870719,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"IYI1",1,"undefined"
"2","62.176.19.146",1418391871858,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"IYI1",1,"undefined"
"3","62.176.19.146",1418391880246,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"IYI1",1,"undefined"
"4","195.9.196.62",1418394064845,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"ZBN2",2,"undefined"
"5","195.9.196.62",1418394079312,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"ZBN2",2,"undefined"
"6","195.9.196.62",1418394091049,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"ZBN2",2,"undefined"
"7","195.9.196.62",1418394101129,"undefined","","HSElist1Dec12","","Ошибка!",3176,1,NA,4,"ZBN2",2,"undefined"
"8","195.9.196.62",1418394110927,"undefined","","HSElist1Dec12","","",NA,1,NA,5,"ZBN2",2,"undefined"
"9","195.9.196.62",1418394122514,"undefined","","HSElist1Dec12","","Ошибка!",9073,1,NA,6,"ZBN2",2,"undefined"
"10","195.9.196.62",1418394131173,"undefined","","HSElist1Dec12","","Ошибка!",3841,1,NA,7,"ZBN2",2,"undefined"
"11","195.9.196.62",1418394145753,"1_1_fill","M_Pl","HSElist1Dec12","fill","Ошибка!",4686,1,NA,9,"ZBN2",2,"stimulus.ejs"
"12","195.9.196.62",1418394156925,"2_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,10,"ZBN2",2,"stimulus.ejs"
"13","195.9.196.62",1418394168210,"3_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5693,1,NA,11,"ZBN2",2,"stimulus.ejs"
"14","195.9.196.62",1418394177449,"4_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,12,"ZBN2",2,"stimulus.ejs"
"15","188.123.237.21",1418398886544,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"GDS3",3,"undefined"
"16","46.188.121.249",1418419403664,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"MVQ4",4,"undefined"
"17","46.188.121.249",1418419422192,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"MVQ4",4,"undefined"
"18","46.188.121.249",1418419433909,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"MVQ4",4,"undefined"
"19","46.188.121.249",1418419450547,"undefined","","HSElist1Dec12","","Ошибка!",3085,1,NA,4,"MVQ4",4,"undefined"
"20","46.188.121.249",1418419460276,"undefined","","HSElist1Dec12","","Ошибка!",4381,1,NA,5,"MVQ4",4,"undefined"
"21","46.188.121.249",1418419474186,"undefined","","HSElist1Dec12","","",NA,1,NA,6,"MVQ4",4,"undefined"
"22","46.188.121.249",1418419483546,"undefined","","HSElist1Dec12","","Ошибка!",4067,1,NA,7,"MVQ4",4,"undefined"
