item	file	text
1_1_fill	1_1_fill.wav	В кабинете восемь шкафов у окна битком набиты бумагами.
2_1_exp	2_1_exp.wav	Ужасно смешная у этого клоуна шутка в представлении, надо запомнить.
3_1_exp	3_1_exp.wav	Недостаточно большая в этом городе гостиницы в центре, на всех мест не хватит.
4_1_fill	4_1_fill.wav	В небе три самолета яркого цвета летели на север.
5_1_exp	5_1_exp.wav	Удивительно плохие у Мишкиного сына застежки на куртке, вот он и бегает нараспашку.
6_1_fill	6_1_fill.wav	В книжном два романов о гангстерах продавались без наценки.
7_1_fill	7_1_fill.wav	На площади восемь магазина рядом с музеем торговали местными сувенирами.
8_1_exp	8_1_exp.wav	Слишком косые у тебя на рисунке линия сверху, надо перерисовать.
9_1_exp	9_1_exp.wav	Явно неделовая у нашего начальника поездка в Париж, очень подозрительно.
10_1_fill	10_1_fill.wav	В городе два заводов возле реки сбрасывают в нее отходы.
